arbeidsgivarorganisasjon,2018,2019,2020,2021,2022
Arbeidsgiverforeningen SPEKTER,215500.0,220300.0,220500.0,238000.0,232000.0
Finans Norge,40000.0,40000.0,37047.0,37211.0,37183.0
KS,477000.0,478800.0,478764.0,489188.0,507726.0
Hovedorganisasjonen Virke,258144.0,254491.0,302872.0,303396.0,307412.0
Næringslivets Hovedorganisasjon i alt,662948.0,674411.0,661268.0,668151.0,710982.0
Andre,155899.0,140350.0,123869.0,143398.0,143856.0
