,Faktisk utvikling,SSB,NAV,Konsensus
2015,,,,
2016,,,,
2017,,,,
2018,,,,
2019,,,,
2020,,,,
2021,,,,
2022,1.5,,1.5,1.5
2023,0.5,,0.5,0.5
2024,0.5,,0.5,0.5
2025,,,,
