Time,Austria,Belgium,Denmark,Estonia,European Union - 27 countries (from 2020),Finland,France,Germany,Iceland,Ireland,Italy,Luxembourg,Netherlands,Norway,Poland,Portugal,Spain,Sweden,Switzerland
2024-Q1,69.4,61.3,73.3,70.6,66.6,64.9,62.1,71.7,81.4,72.3,62.5,65.6,77.3,71.9,68.2,66.3,62.2,71.2,76.2
2024-Q2,69.0,61.6,73.1,71.4,66.7,64.1,62.5,71.7,82.9,72.6,62.4,64.8,77.3,72.6,68.2,66.6,62.2,71.4,76.3
